,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Arus Kas Dari Aktivitas Operasi, 91170264729.000000 , 87985547922.000000 , 115491387547.000000 , 143852597439.000000 , 237695889064.000000 , 278878036499.000000 , 238937995916.000000 , 111918147182.000000 , 95618365174.000000 , 245599197741.000000 , 356764910588.000000 , 368988791699.000000 , 419903184489.000000 , 499071136681.000000 , 465550947703.000000 
1,      Penerimaan Kas Dari Pelan..., 612444242751.000000 , 702287125589.000000 , 791835042749.000000 , 919381877413.000000 , 1093961434783.000000 , 1331537625011.000000 , 1524717899256.000000 , 1270496479225.000000 , 1462636492865.000000 , 1668319728723.000000 , 1996530362700.000000 , 2130228470309.000000 , 2118735999274.000000 , 2488184170782.000000 , 2533957443939.000000 
2,      Pembayaran Kas Kepada Pem..., -473563734996.000000 , -549707956775.000000 , -615855813587.000000 , -721319924685.000000 , -807530723466.000000 , -974712839033.000000 , -1183909079928.000000 , -1086879110943.000000 , -1321301724718.000000 , -1369809266034.000000 , -1576543628237.000000 , -1699364268937.000000 , -1645105042425.000000 , -1882544726787.000000 , -1913107105328.000000 
3,      Penerimaan Dari Pendapata..., 1007281265.000000 , 319081936.000000 , 69264396.000000 , 368513202.000000 , 1088763571.000000 , 2370164882.000000 , 2321430609.000000 , 1616968352.000000 , 52736696.000000 , 196351222.000000 , 4063928278.000000 , 10522162656.000000 , 10841196828.000000 , 11404390836.000000 , 11919581158.000000 
4,      Pembayaran Pajak, -27382869987.000000 , -35324238288.000000 , -30391617023.000000 , -34651461351.000000 , -37454844063.000000 , -74307308576.000000 , -99606289049.000000 , -66524751002.000000 , -30383985120.000000 , -34886327895.000000 , -55097062037.000000 , -66496366102.000000 , -58526382894.000000 , -115307775174.000000 , -163911947270.000000 
5,      Beban Bunga, -21334654304.000000 , -29588464540.000000 , -30165488988.000000 , -19926407140.000000 , -12368741761.000000 , -6009605785.000000 , -4585964972.000000 , -6791438450.000000 , -15385154549.000000 , -18221288275.000000 , -12188690116.000000 , -5901206227.000000 , -6042586294.000000 , -2664922976.000000 , -3307024796.000000 
6,     &nbspTotal Arus Kas Dari Aktivitas...,91170264729.000000,87985547922.000000,115491387547.000000,143852597439.000000,237695889064.000000,278878036499.000000,238937995916.000000,111918147182.000000,95618365174.000000,245599197741.000000,356764910588.000000,368988791699.000000,419903184489.000000,499071136681.000000,465550947703.000000
7,Arus Kas Dari Aktivitas Investa..., -50661739675.000000 , -16051712228.000000 , -7972409549.000000 , -22240989655.000000 , -56893120390.000000 , -158716830866.000000 , -87847151860.000000 , -81787405602.000000 , -74783195641.000000 , -73199748318.000000 , -88869408356.000000 , -43215091130.000000 , -83874757351.000000 , -113534391844.000000 , -331475086895.000000 
8,      Deposito Berjangka, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
9,      Penempatan Investasi Jang..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , -161500000000.000000 
10,      Hasil Penjualan Aset Teta..., 1172300000.000000 , 919818182.000000 , 632294793.000000 , 377454545.000000 , 3576029951.000000 , 707607223.000000 , 1645551162.000000 , 1605709021.000000 , 213283182.000000 , 385636364.000000 , 1622272728.000000 , 821747274.000000 , 462903127.000000 , 1030454545.000000 , 6439218654.000000 
11,      Perolehan Aset Tetap, -21860674849.000000 , -33038100408.000000 , -19013433320.000000 , -21223084200.000000 , -53620113961.000000 , -143578816339.000000 , -86889013567.000000 , -81995673304.000000 , -73618155069.000000 , -70639937058.000000 , -80884971616.000000 , -43291250384.000000 , -83590571698.000000 , -111818565372.000000 , -147428063807.000000 
12,      Pencairan Deposito Berjan..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
13,      Uang Muka Untuk Perolehan..., - , - , - , - , - , -15845621750.000000 , -2603689455.000000 , -1397441319.000000 , -1378323754.000000 , -2945447624.000000 , -9606709468.000000 , -745588020.000000 , -747088780.000000 , -2746281017.000000 , -28986241742.000000 
14,      Uang Muka Pembelian Mesin, - , - , - , -1395360000.000000 , -6849036380.000000 , - , - , - , - , - , - , - , - , - , - 
15,      Pengurangan /(Kenaikan) A..., -29973364826.000000 , 16066569998.000000 , 10408728978.000000 , - , - , - , - , - , - , - , - , - , - , - , - 
16,      Hasil Penjualan Saham Tre..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
17,      Adjustment, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
18,     &nbspTotal Arus Kas Dari Aktivitas...,-50661739675.000000,-16051712228.000000,-7972409549.000000,-22240989655.000000,-56893120390.000000,-158716830866.000000,-87847151860.000000,-81787405602.000000,-74783195641.000000,-73199748318.000000,-88869408356.000000,-43215091130.000000,-83874757351.000000,-113534391844.000000,-331475086895.000000
19,Arus Kas Dari Aktivitas Pendana..., -35917987285.000000 , -79642397586.000000 , -69842820345.000000 , -151629295015.000000 , -145791893194.000000 , -133068776625.000000 , -135995706650.000000 , -72261213434.000000 , -22774219022.000000 , -116033877723.000000 , -134613286540.000000 , -169495869418.000000 , -249144357659.000000 , -218877844550.000000 , -298528330823.000000 
20,      Perolehan Utang Bank Jang..., 22738697849.000000 , - , 20869823190.000000 , - , - , 6141200625.000000 , 7783178069.000000 , 40949420990.000000 , 47157203254.000000 , - , - , - , 3556982686454.000000 , 4200730459719.000000 , 4020937648660.000000 
21,      Perolehan Utang Bank Jang..., 97375952445.000000 , 45247619941.000000 , 97557160000.000000 , 20936935401.000000 , - , 30000000000.000000 , - , - , 105799705065.000000 , 11670430536.000000 , - , - , - , - , - 
22,      Perolehan Utang Pembiayaa..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
23,      Pembayaran Utang Bank Jan..., - , -13375539935.000000 , - , -62480638773.000000 , -14087048390.000000 , - , - , - , - , -51097302407.000000 , -11305421609.000000 , 6395697366.000000 , -3573726697790.000000 , -4210827717029.000000 , -3990339989835.000000 
24,      Pembayaran Utang Bank Jan..., -44348587372.000000 , -30988590288.000000 , -114815518934.000000 , -73325175791.000000 , -77243143575.000000 , -59322561762.000000 , -22670692282.000000 , -4615384618.000000 , -15123080118.000000 , -26958018217.000000 , -30543507867.000000 , -54978314160.000000 , -43279850914.000000 , - , - 
25,      Pembayaran Utang Pembiaya..., -192666121.000000 , -767385728.000000 , -189269750.000000 , -180353967.000000 , -388722507.000000 , -521639336.000000 , -135387890.000000 , -205442224.000000 , -226240958.000000 , -705881360.000000 , -894741417.000000 , -763585825.000000 , -689610449.000000 , -530362120.000000 , -606749228.000000 
26,      Perolehan Aset Tetap, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
27,      Utang Pembelian Aset Teta..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
28,      Utang Sewa Pembiayaan, -110550229.000000 , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
29,      Perolehan Utang Dari Pema..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
30,      Pembayaran Utang Kepada P..., -106792439497.000000 , -75170107216.000000 , -59886530643.000000 , -8743995719.000000 , -17023523842.000000 , -35349566392.000000 , -3062408931.000000 , -18950515921.000000 , -124970469465.000000 , -12023485395.000000 , - , - , - , - , - 
