,In Million,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Arus Kas Dari Aktivitas Operasi, 57013312860.000000 , -10598162097.000000 , -75867724565.000000 , 40872419875.000000 , -86018942530.000000 , 134313741671.000000 , -327182000000.000000 , -3786538000000.000000 , 1504729000000.000000 
1,      Penerimaan Pendapatan Bun..., 84342337798.000000 , 94862316227.000000 , 77868282796.000000 , 78648130743.000000 , 67458332082.000000 , 51519370609.000000 , 81859000000.000000 , 574585000000.000000 , 1452516000000.000000 
2,      Pembayaran Beban Bunga, -55722591255.000000 , -60467694422.000000 , -44475601817.000000 , -47281359345.000000 , -40656498685.000000 , -39157595868.000000 , -25246000000.000000 , -60463000000.000000 , -144955000000.000000 
3,      Pendapatan Operasional La..., 5237671463.000000 , 3830192233.000000 , 7524324276.000000 , 12366105837.000000 , 3865190083.000000 , 1120752197.000000 , - , - , - 
4,      Beban Operasional Lainnya, -10795432743.000000 , -13860895980.000000 , -20338229941.000000 , -21309337801.000000 , -30622691693.000000 , -9539293737.000000 , - , - , - 
5,      Beban Personalia, -21700151200.000000 , -22161528379.000000 , -25828290345.000000 , -29211426173.000000 , -27235907449.000000 , -28371730214.000000 , -165015000000.000000 , -177440000000.000000 , -318479000000.000000 
6,      Pembayaran Beban Pajak, -1503631000.000000 , -380308250.000000 , 166354350.000000 , - , - , - , - , - , - 
7,      Penerimaan Pendapatan Non..., 2147000.000000 , 615086039.000000 , 151847054.000000 , 238298348.000000 , 500000.000000 , - , - , - , - 
8,      Pembayaran Beban Non Oper..., -110767898.000000 , -87986600.000000 , -72635940827.000000 , -364980732.000000 , -121451500.000000 , -25894944377.000000 , -56357000000.000000 , -1369000000.000000 , 7709000000.000000 
9,      Penerimaan Kredit Yang Te..., 38261392.000000 , 25434445.000000 , 567035217.000000 , 5305138611.000000 , 15774285293.000000 , 2703587552.000000 , 18737000000.000000 , 36159000000.000000 , 183000000.000000 
10,      Pendapatan Dan Beban Oper..., - , - , - , - , - , - , 7033000000.000000 , -342073000000.000000 , -548793000000.000000 
11,      Selisih Penilaian Kembali..., - , - , 48343251691.000000 , - , - , - , - , - , - 
12,      (Kenaikan) Penurunan Dala...,,,,,,,,,
13,         Penempatan Pada Bank Lai..., - , -500000000.000000 , 500000000.000000 , - , - , - , - , - , - 
14,         Kredit Yang Diberikan, -117262756745.000000 , 80681646359.000000 , -27869966303.000000 , -11084673243.000000 , 81254340153.000000 , 78753169999.000000 , -644189000000.000000 , -4476395000000.000000 , -4306149000000.000000 
15,         Agunan Yang Diambil Alih, -5392520001.000000 , 4576057369.000000 , -4856559932.000000 , -16533241062.000000 , -1869846203.000000 , -5801680098.000000 , -7894000000.000000 , -36802000000.000000 , -17382000000.000000 
