,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Arus Kas Dari Aktivitas Operasi, -1743764000000.000000 , -18660401000000.000000 , 2711962000000.000000 , -37228553000000.000000 , 27715044000000.000000 , -4189827000000.000000 , 35136527000000.000000 , 29459026000000.000000 , 45667484000000.000000 , 9658627000000.000000 , 4912562000000.000000 , 51942040000000.000000 , 50978875000000.000000 , 126186318000000.000000 , 33779263000000.000000 
1,      Penerimaan Pendapatan Bun..., 16915774000000.000000 , 19127371000000.000000 , 20412733000000.000000 , 24204371000000.000000 , 34231828000000.000000 , 40463212000000.000000 , 50279319000000.000000 , 54590864000000.000000 , 57248921000000.000000 , 62896141000000.000000 , 67188173000000.000000 , 76539139000000.000000 , 78589390000000.000000 , 87630904000000.000000 , 89720816000000.000000 
2,      Pendapatan Operasional La..., 3243649000000.000000 , 3703399000000.000000 , 7206932000000.000000 , 6247264000000.000000 , 347117000000.000000 , 612641000000.000000 , 1061919000000.000000 , 1532994000000.000000 , 2062231000000.000000 , 2554654000000.000000 , 3105023000000.000000 , 4019391000000.000000 , 3438074000000.000000 , 4787096000000.000000 , 5595626000000.000000 
3,"      Pembayaran Beban Bunga, P...", -6937316000000.000000 , -8016223000000.000000 , -7715163000000.000000 , -7696113000000.000000 , -7692146000000.000000 , -7790809000000.000000 , -11653738000000.000000 , -11320613000000.000000 , -10313905000000.000000 , -11900029000000.000000 , -11364783000000.000000 , -13523795000000.000000 , -11422371000000.000000 , -9606910000000.000000 , -8372338000000.000000 
4,      Pembayaran Imbalan Pasca-..., - , - , - , - , -228178000000.000000 , -234193000000.000000 , -1084181000000.000000 , -1427104000000.000000 , -1510616000000.000000 , -1488730000000.000000 , -675161000000.000000 , -239230000000.000000 , -1031589000000.000000 , -2020877000000.000000 , -362848000000.000000 
5,      (Beban) Pendapatan Dari T..., -4995685000000.000000 , 7492116000000.000000 , 1984543000000.000000 , 1002669000000.000000 , -1557056000000.000000 , -11224484000000.000000 , -813189000000.000000 , 2405144000000.000000 , 1763810000000.000000 , 200959000000.000000 , -402658000000.000000 , 1864822000000.000000 , 106142000000.000000 , 1488981000000.000000 , 3083584000000.000000 
6,      Beban Operasional Lainnya, -6730833000000.000000 , -8008750000000.000000 , -8855748000000.000000 , -10046471000000.000000 , -11238594000000.000000 , -12749715000000.000000 , -15724334000000.000000 , -19160735000000.000000 , -20631629000000.000000 , -22390235000000.000000 , -24574455000000.000000 , -27088835000000.000000 , -26021802000000.000000 , -27304565000000.000000 , -29944225000000.000000 
7,      Pendapatan Non-Operasiona..., 48949000000.000000 , 417023000000.000000 , 167076000000.000000 , 229417000000.000000 , 190522000000.000000 , 75980000000.000000 , 231491000000.000000 , - , - , - , - , - , - , - , - 
8,      Pembayaran Pajak Penghasi..., -2251332000000.000000 , -2772529000000.000000 , -2037009000000.000000 , -2751678000000.000000 , -3084948000000.000000 , -3913875000000.000000 , -4573173000000.000000 , -5022385000000.000000 , -5681162000000.000000 , -5778687000000.000000 , -6014149000000.000000 , -7909355000000.000000 , -6932987000000.000000 , -8525496000000.000000 , -10107569000000.000000 
9,      Pembayaran Tantiem Dewan ..., - , - , -85085000000.000000 , -105990000000.000000 , -162261000000.000000 , -175815000000.000000 , -213762000000.000000 , -247256000000.000000 , -269600000000.000000 , -308114000000.000000 , -354950000000.000000 , -413500000000.000000 , -445180000000.000000 , -440390000000.000000 , -493000000000.000000 
