,In Million,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Arus Kas Dari Aktivitas Operasi, -15797753000000.000000 , 1506696000000.000000 , 44813470000000.000000 , 15551390000000.000000 , -24367229000000.000000 , -490456000000.000000 , 75822636000000.000000 , 45544908000000.000000 , 21770833000000.000000 , 39299109000000.000000 , 57262380000000.000000 , 44583078000000.000000 , 66689187000000.000000 , 32588374000000.000000 , 97506005000000.000000 
1,"      Penerimaan Bunga, Hasil I...", 27591162000000.000000 , 35065389000000.000000 , 46642900000000.000000 , 47778151000000.000000 , 49830419000000.000000 , 59350676000000.000000 , 75112561000000.000000 ,,,,,,,,
2,         Penerimaan Bunga Dan Inv..., - , - , - , - , - , - , - , 82595882000000.000000 , 91595203000000.000000 , 100171404000000.000000 , 102362129000000.000000 , 117464011000000.000000 , 109112566000000.000000 , 140183030000000.000000 , 130501831000000.000000 
3,         Pendapatan Syariah, - , - , - , - , - , - , - , 2426292000000.000000 , 2636677000000.000000 , 2819042000000.000000 , 3124446000000.000000 , 3376547000000.000000 , 4348425000000.000000 , 2358545000000.000000 , 10118043000000.000000 
4,         Pendapatan Premi, - , - , - , - , - , - , - , - , 2474579000000.000000 , 3788965000000.000000 , 4178213000000.000000 , 5373757000000.000000 , 6208716000000.000000 , 6989783000000.000000 , 8936995000000.000000 
5,"        &nbspTotal Penerimaan Bunga,...",27591162000000.000000,35065389000000.000000,46642900000000.000000,47778151000000.000000,49830419000000.000000,59350676000000.000000,75112561000000.000000,85022174000000.000000,96706459000000.000000,106779411000000.000000,109664788000000.000000,126214315000000.000000,119669707000000.000000,149531358000000.000000,149556869000000.000000
6,"      Pembayaran Bunga, Beban S...", -8317392000000.000000 , -12296537000000.000000 , -11719715000000.000000 , -13684909000000.000000 , -13147390000000.000000 , -14883697000000.000000 , -23186044000000.000000 ,,,,,,,,
7,         Beban Bunga, - , - , - , - , - , - , - , -26101932000000.000000 , -26038559000000.000000 , -28319909000000.000000 , -32166798000000.000000 , -38666742000000.000000 , -36190771000000.000000 , -28533680000000.000000 , -25762613000000.000000 
8,         Beban Syariah, - , - , - , - , - , - , - , -1013170000000.000000 , -1035502000000.000000 , -1241591000000.000000 , -1375637000000.000000 , -1377133000000.000000 , -1531824000000.000000 , -1293103000000.000000 , -1008042000000.000000 
9,         Beban Klaim, - , - , - , - , - , - , - , - , -2410192000000.000000 , -3403551000000.000000 , -3232491000000.000000 , -4363029000000.000000 , -5327065000000.000000 , -5946708000000.000000 , -7359672000000.000000 
10,"        &nbspTotal Pembayaran Bunga,...",-8317392000000.000000,-12296537000000.000000,-11719715000000.000000,-13684909000000.000000,-13147390000000.000000,-14883697000000.000000,-23186044000000.000000,-27115102000000.000000,-29484253000000.000000,-32965051000000.000000,-36774926000000.000000,-44406904000000.000000,-43049660000000.000000,-35773491000000.000000,-34130327000000.000000
11,      Penerimaan Kembali Aset Y..., 473989000000.000000 , 775150000000.000000 , 1525143000000.000000 , 1833012000000.000000 , 2284074000000.000000 , 1959521000000.000000 , 2112320000000.000000 , 2353612000000.000000 , 4511717000000.000000 , 5050713000000.000000 , 6209437000000.000000 , 7065981000000.000000 , 7239896000000.000000 , 9005760000000.000000 , 12468321000000.000000 
12,      Pendapatan Operasional La..., 2787555000000.000000 , 3269594000000.000000 , 4019390000000.000000 , 3907886000000.000000 , 5417549000000.000000 , 6842840000000.000000 , 6640745000000.000000 , 9533063000000.000000 , 9333633000000.000000 , 13745727000000.000000 , 16764733000000.000000 , 22213637000000.000000 , 25210072000000.000000 , 34345472000000.000000 , 35709608000000.000000 
13,      Beban Operasional Lainnya, -14254468000000.000000 , -17448759000000.000000 , -25245930000000.000000 , -24292508000000.000000 , -23396966000000.000000 , -25225142000000.000000 , -31213381000000.000000 , -25782430000000.000000 , -35297823000000.000000 , -32263843000000.000000 , -42230943000000.000000 , -46257369000000.000000 , -49474810000000.000000 , -73658162000000.000000 , -78869304000000.000000 
14,      Pendapatan Non Operasiona..., 472604000000.000000 , 1314297000000.000000 , 500354000000.000000 , 1161176000000.000000 , 1162898000000.000000 , 2147065000000.000000 , 2966877000000.000000 , 1959483000000.000000 , 479000000.000000 , 216325000000.000000 , 27818000000.000000 , -67880000000.000000 , -84532000000.000000 , -203971000000.000000 , -52531000000.000000 
15,      Pembayaran Pajak Penghasi..., - , - , - , - , - , - , - , -7000011000000.000000 , -6182996000000.000000 , -9037947000000.000000 , -9668009000000.000000 , -9357307000000.000000 , -4953877000000.000000 , -11164431000000.000000 , -15762408000000.000000 
16,      Perubahan Dalam Aset Dan ...,,,,,,,,,,,,,,,
17,         (Kenaikan) Penurunan Ase...,,,,,,,,,,,,,,,
18,            Penempatan Pada Bank ..., -8248952000000.000000 , -17718162000000.000000 , -816714000000.000000 , 753698000000.000000 , -35599843000000.000000 , 14164442000000.000000 , 2796000000.000000 , -100000000000.000000 , 100000000000.000000 , -339187000000.000000 , 190262000000.000000 , -2854149000000.000000 , 264550000000.000000 , 945891000000.000000 , -195110000000.000000 
19,            Efek-Efek Dan Obligas..., -3042849000000.000000 , 857613000000.000000 , - , -4422876000000.000000 , -2987198000000.000000 , -397415000000.000000 , 882059000000.000000 , -800992000000.000000 , 254367000000.000000 , -702255000000.000000 , -2566448000000.000000 , -12637154000000.000000 , -11940401000000.000000 , 9164531000000.000000 , -2114619000000.000000 
20,            Efek Yg Dibeli Dengan..., - , - , -6711511000000.000000 , - , - , - , - , - , - , - , - , - , - , - , - 
21,            Tagihan Wesel Ekspor, 34584000000.000000 , 10537000000.000000 , -190585000000.000000 , -4086814000000.000000 , -1106203000000.000000 , -2991300000000.000000 , -1601913000000.000000 , 3247102000000.000000 , -2064589000000.000000 , 3721755000000.000000 , -16788338000000.000000 , -6301831000000.000000 , 6744495000000.000000 , -2091221000000.000000 , -9403150000000.000000 
22,            (Kenaikan)/Penurunan ..., -1584097000000.000000 , -212145000000.000000 , -1686098000000.000000 , - , -167223000000.000000 , -4889542000000.000000 , -24563532000000.000000 , 38158470000000.000000 , -712245000000.000000 , -16453656000000.000000 , 8614473000000.000000 , -13185691000000.000000 , -24236324000000.000000 , -8096930000000.000000 , 3900820000000.000000 
23,            Tagihan Derivatif, 24711000000.000000 , -144908000000.000000 , 57051000000.000000 , 70052000000.000000 , -11032000000.000000 , 23869000000.000000 , 4445000000.000000 , - , - , - , - , - , - , - , - 
24,            Kredit Yang Diberikan, -49011423000000.000000 , -45413711000000.000000 , -41441844000000.000000 , -38442018000000.000000 , -69799516000000.000000 , -87876065000000.000000 , -66400256000000.000000 , -77198420000000.000000 , -87463887000000.000000 , -85060312000000.000000 , -113206894000000.000000 , -74427400000000.000000 , -35685632000000.000000 , -68377027000000.000000 , -106917972000000.000000 
25,            Piutang Dan Pembiayaa..., 134738000000.000000 , -1600765000000.000000 , -2924794000000.000000 , -3583747000000.000000 , -2165254000000.000000 , -2785166000000.000000 , -1616217000000.000000 , -1156677000000.000000 , -1254192000000.000000 , -258240000000.000000 , -2600698000000.000000 , -6025669000000.000000 , -13149476000000.000000 , 39905977000000.000000 , -1354828000000.000000 
26,            Piutang Sewa Pembiaya..., - , - , - , - , - , - , - , - , -2214946000000.000000 , -305667000000.000000 , -949203000000.000000 , -803779000000.000000 , 572372000000.000000 , -11951573000000.000000 , -9996487000000.000000 
27,            Tagihan Akseptasi, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
28,            Aset Pajak Tangguhan, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
29,            Uang Muka Pajak Tahun..., - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
30,            Aset Lain-Lain, -3373184000000.000000 , 1541853000000.000000 , 547943000000.000000 , -1541889000000.000000 , -4014473000000.000000 , 124624000000.000000 , -1487503000000.000000 , -2388153000000.000000 , -662511000000.000000 , -11728077000000.000000 , 4631594000000.000000 , 6785221000000.000000 , -11322226000000.000000 , 1422631000000.000000 , -2941947000000.000000 
31,           &nbspTotal (Kenaikan) Penur...,-65066472000000.000000,-62679688000000.000000,-53166552000000.000000,-51253594000000.000000,-115850742000000.000000,-84626553000000.000000,-94780121000000.000000,-40238670000000.000000,-94018003000000.000000,-111125639000000.000000,-122675252000000.000000,-109450452000000.000000,-88752642000000.000000,-39077721000000.000000,-129023293000000.000000
32,         Kenaikan (Penurunan) Lia...,,,,,,,,,,,,,,,
33,            Liabilitas Segera, 1621694000000.000000 , -1305607000000.000000 , 560071000000.000000 , -167523000000.000000 , 1240892000000.000000 , 143863000000.000000 , 1928408000000.000000 , -1899903000000.000000 , 264342000000.000000 , 1153159000000.000000 , 1878757000000.000000 , -913645000000.000000 , 4296598000000.000000 , 3261813000000.000000 , 6175192000000.000000 
34,            Simpanan:,,,,,,,,,,,,,,,
35,               Giro, 2727538000000.000000 , 10116911000000.000000 , 27083781000000.000000 , -785798000000.000000 , 3140314000000.000000 , -385250000000.000000 , 10764203000000.000000 , 23999076000000.000000 , 27989677000000.000000 , 4110148000000.000000 , 32568814000000.000000 , -9271846000000.000000 , 16325094000000.000000 , 35741846000000.000000 , 129165393000000.000000 
36,               Giro Wadiah, 33672000000.000000 , 54298000000.000000 , 186482000000.000000 , 200050000000.000000 , 155971000000.000000 , -913000000.000000 , -48974000000.000000 , 315832000000.000000 , 190098000000.000000 , 639058000000.000000 , 510949000000.000000 , -256984000000.000000 , 4282336000000.000000 , -6258078000000.000000 , - 
37,               Giro Mudharabah, - , - , - , - , - , - , - , - , - , 139535000000.000000 , 153729000000.000000 , - , - , - , - 
38,               Tabungan, 15730375000000.000000 , 16282534000000.000000 , 21078783000000.000000 , 27445940000000.000000 , 29838227000000.000000 , 27401097000000.000000 , 22487836000000.000000 , 35336346000000.000000 , 30051541000000.000000 , 45310331000000.000000 , 36497967000000.000000 , 25436778000000.000000 , 55098105000000.000000 , 37005372000000.000000 , 24971180000000.000000 
39,               Tabungan Wadiah, - , 313800000000.000000 , 424427000000.000000 , 648497000000.000000 , 301754000000.000000 , 792076000000.000000 , 818105000000.000000 , 417270000000.000000 , 460832000000.000000 , 572891000000.000000 , 852159000000.000000 , 1349877000000.000000 , 2295916000000.000000 , -9247604000000.000000 , - 
40,               Tabungan Mudharab..., 46457000000.000000 , -209827000000.000000 , 23274000000.000000 , 48785000000.000000 , 92495000000.000000 , 86103000000.000000 , 92428000000.000000 , 322382000000.000000 , 286923000000.000000 , 287363000000.000000 , 388625000000.000000 , - , - , - , - 
41,               Deposito Berjangk..., 17425521000000.000000 , 26713623000000.000000 , 26275287000000.000000 , 19697394000000.000000 , 31260256000000.000000 , 24318529000000.000000 , 81871778000000.000000 , -15573140000000.000000 , 25144974000000.000000 , 33388559000000.000000 , 30995577000000.000000 , 55810139000000.000000 , 13175897000000.000000 , -5923271000000.000000 , 15004224000000.000000 
42,               Deposito Berjangk..., -26107000000.000000 , 1119483000000.000000 , 2652102000000.000000 , 3357077000000.000000 , 1113021000000.000000 , 1903357000000.000000 , 2055088000000.000000 , 1855767000000.000000 , 1406950000000.000000 , 2682191000000.000000 , 644468000000.000000 , - , - , - , - 
43,              &nbspTotal Simpanan:,35937456000000.000000,54390822000000.000000,77724136000000.000000,50611945000000.000000,65902038000000.000000,54114999000000.000000,118040464000000.000000,46673533000000.000000,85530995000000.000000,87130076000000.000000,102612288000000.000000,73067964000000.000000,91177348000000.000000,51318265000000.000000,169140797000000.000000
44,            Simpanan Dari Bank La..., 1817211000000.000000 , 1021664000000.000000 , 710408000000.000000 , -1136152000000.000000 , -1245545000000.000000 , 912602000000.000000 , 4964172000000.000000 , 2509681000000.000000 , -8935535000000.000000 , 3363829000000.000000 , 3537792000000.000000 , 8838671000000.000000 , 5816167000000.000000 , -10456563000000.000000 , -3994882000000.000000 
45,            Liabilitas Derivatif, 1132754000000.000000 , -1036374000000.000000 , -195501000000.000000 , 91734000000.000000 , -21343000000.000000 , 1412909000000.000000 , -847579000000.000000 , - , - , - , - , - , - , -208079000000.000000 , - 
46,            Tagihan Akseptasi, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
47,            Efek-Efek Yang Dijual..., 71000000.000000 , 441712000000.000000 , -18099000000.000000 , -423684000000.000000 , -102681000000.000000 , - , 15456092000000.000000 , -4434003000000.000000 , -4075560000000.000000 , 4834286000000.000000 , 25242710000000.000000 , 12523543000000.000000 , -9424266000000.000000 , -11070164000000.000000 , -19410916000000.000000 
48,            Liabilitas Lain-Lain, 6083000000.000000 , -4967000000.000000 , 3476865000000.000000 , 1125856000000.000000 , 3559568000000.000000 , -2639539000000.000000 , -1371878000000.000000 , 3963481000000.000000 , 3417378000000.000000 , 2418063000000.000000 , 2673187000000.000000 , 1252567000000.000000 , 291044000000.000000 , 235264000000.000000 , 5698879000000.000000 
