,In Million,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Arus Kas Dari Aktivitas Operasi, 3993431000000.000000 , 644983000000.000000 , -200219000000.000000 , 3146554000000.000000 , 18676808000000.000000 , 1885530000000.000000 
1,"      Penerimaan Bagi Hasil, Ma...", 2795605000000.000000 , 3048880000000.000000 , 3370838000000.000000 , 4244055000000.000000 , 17729782000000.000000 , 19343529000000.000000 
2,      Pembayaran Bagi Hasil Dan..., -1193226000000.000000 , -1294887000000.000000 , -1326279000000.000000 , -1444135000000.000000 , -4390339000000.000000 , -3997872000000.000000 
3,      Penerimaan Dari Pembiayaa..., - , - , - , - , 998496000000.000000 , 1377882000000.000000 
4,      Penerimaan Pendapatan Usa..., 149003000000.000000 , 191517000000.000000 , 250534000000.000000 , 360909000000.000000 , 2249710000000.000000 , 2723083000000.000000 
5,      Pembayaran Tantiem, - , - , - , - , -51660000000.000000 , -75784000000.000000 
6,      Beban Usaha, -1501122000000.000000 , -1109325000000.000000 , -1317195000000.000000 , -1533977000000.000000 , -10190968000000.000000 , -11781973000000.000000 
7,      Pendapatan Non-Usaha - Ne..., 11183000000.000000 , -6093000000.000000 , -2263000000.000000 , -28439000000.000000 , 65766000000.000000 , 24903000000.000000 
8,      Pembayaran Pajak Penghasi..., -143178000000.000000 , -140650000000.000000 , -61519000000.000000 , -100680000000.000000 , -1344080000000.000000 , -1446720000000.000000 
9,      Pembayaran Zakat, -8933000000.000000 , -7051000000.000000 , -6674000000.000000 , -5657000000.000000 , -127611000000.000000 , -170771000000.000000 
10,      Penyaluran Dana Kebajikan, -2308000000.000000 , -5038000000.000000 , -2586000000.000000 , -3871000000.000000 , -59529000000.000000 , -108831000000.000000 
11,      Perubahan Dalam Aset Dan ...,,,,,,
12,         Kenaikan (Penurunan) Ase...,,,,,,
13,            Penempatan Pada Bank ..., 1400000000000.000000 , -450000000000.000000 , -300000000000.000000 , 1000000000000.000000 , 6958439000000.000000 , - 
14,            Surat Berharga - Diuk..., - , - , - , - , -566235000000.000000 , 1663206000000.000000 
15,            Surat Berharga Jangka..., - , - , - , - , -116881000000.000000 , 45529000000.000000 
16,            Piutang, -103243000000.000000 , -687034000000.000000 , -2135348000000.000000 , -10368217000000.000000 , -11903595000000.000000 , -23099277000000.000000 
17,            Pinjaman Qardh, -242855000000.000000 , 171239000000.000000 , -39731000000.000000 , 84295000000.000000 , -138376000000.000000 , -282378000000.000000 
18,            Pembiayaan Syariah, 230173000000.000000 , -1797737000000.000000 , -3925826000000.000000 , -3464609000000.000000 , -3163358000000.000000 , -12449035000000.000000 
19,            Tagihan Akseptasi, - , - , - , - , 133842000000.000000 , -319908000000.000000 
20,            Aset Yang Diperoleh U..., -933030000000.000000 , -812211000000.000000 , 79452000000.000000 , 463878000000.000000 , 607896000000.000000 , -583008000000.000000 
21,            Aset Lain-Lain, -332986000000.000000 , -400493000000.000000 , 13569000000.000000 , -213698000000.000000 , -708204000000.000000 , -208881000000.000000 
22,           &nbspTotal Kenaikan (Penuru...,18059000000.000000,-3976236000000.000000,-6307884000000.000000,-12498351000000.000000,-8896472000000.000000,-35233752000000.000000
23,         Kenaikan (Penurunan) Lia...,,,,,,
24,            Liabilitas Segera, -158000000.000000 , 23982000000.000000 , -3573000000.000000 , 205622000000.000000 , -354881000000.000000 , 430314000000.000000 
25,            Simpanan Dari Nasabah, 1223916000000.000000 , 1362051000000.000000 , 1100539000000.000000 , 6594884000000.000000 , -3155693000000.000000 , 8764367000000.000000 
26,            Simpanan Dari Bank La..., -958386000000.000000 , 794607000000.000000 , -792941000000.000000 , 699110000000.000000 , -690622000000.000000 , 2102759000000.000000 
27,            Liabilitas Akseptasi, - , - , - , - , -133842000000.000000 , 319908000000.000000 
28,            Utang Pajak, -2535000000.000000 , -8127000000.000000 , 48661000000.000000 , 176919000000.000000 , 28050000000.000000 , 89446000000.000000 
29,            Liabilitas Lain-Lain, 478170000000.000000 , 617913000000.000000 , 688235000000.000000 , -2150035000000.000000 , 410048000000.000000 , 126051000000.000000 
30,            Kenaikan Dana Syirkah..., 3127341000000.000000 , 1153440000000.000000 , 4161888000000.000000 , 8630200000000.000000 , 26590653000000.000000 , 19398991000000.000000 
31,           &nbspTotal Kenaikan (Penuru...,3868348000000.000000,3943866000000.000000,5202809000000.000000,14156700000000.000000,22693713000000.000000,31231836000000.000000
32,        &nbspTotal Perubahan Dalam A...,3886407000000.000000,-32370000000.000000,-1105075000000.000000,1658349000000.000000,13797241000000.000000,-4001916000000.000000
33,     &nbspTotal Arus Kas Dari Aktivitas...,3993431000000.000000,644983000000.000000,-200219000000.000000,3146554000000.000000,18676808000000.000000,1885530000000.000000
34,Arus Kas Dari Aktivitas Investa..., -2769661000000.000000 , -1748912000000.000000 , -1190710000000.000000 , -2842544000000.000000 , -18571038000000.000000 , 5994708000000.000000 
35,      Penerimaan Kembali Invest..., 79071000000.000000 , 6860267000000.000000 , 7795220000000.000000 , 27862763000000.000000 , 466832322000000.000000 , 464041150000000.000000 
36,      Hasil Penjualan Aset Teta..., 280000000.000000 , 134000000.000000 , 750000000.000000 , 419000000.000000 , - , - 
37,      Perolehan Aset Tetap, -64937000000.000000 , -62000000000.000000 , -21304000000.000000 , -71725000000.000000 , -787504000000.000000 , -2041797000000.000000 
38,      Perolehan Surat Berharga, -2784075000000.000000 , -8547313000000.000000 , -8965376000000.000000 , -30634001000000.000000 , -484615856000000.000000 , -456004645000000.000000 
39,     &nbspTotal Arus Kas Dari Aktivitas...,-2769661000000.000000,-1748912000000.000000,-1190710000000.000000,-2842544000000.000000,-18571038000000.000000,5994708000000.000000
40,Arus Kas Dari Aktivitas Pendana..., -100000000000.000000 , 2312192000000.000000 , -10660000000.000000 , 85419000000.000000 , -77929000000.000000 , 4798909000000.000000 
41,      Penerbitan Saham, - , 1312192000000.000000 , - , 106644000000.000000 , 52286000000.000000 , 4999952000000.000000 
