,In Million,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Arus Kas Dari Aktivitas Operasi, -10648276000000.000000 , -19031759000000.000000 , -7361142000000.000000 , -14691398000000.000000 , -17206303000000.000000 
1,      Penerimaan Dari Pelanggan, 4481290000000.000000 , 8642630000000.000000 , 8484986000000.000000 , 15476202000000.000000 , 22896945000000.000000 
2,      Pembayaran Kepada Pelangg..., -9455172000000.000000 , -18564977000000.000000 , -5680108000000.000000 , -15320475000000.000000 , -20077916000000.000000 
3,      Pembayaran Kepada Pemasok, -958866000000.000000 , -2000367000000.000000 , -871574000000.000000 , -1148138000000.000000 , -2037486000000.000000 
4,      Penerimaan Dari Pengguna ..., - , - , - , 323892000000.000000 , 607023000000.000000 
5,      Pembayaran Terkait Biaya ..., - , - , - , -280744000000.000000 , - 
6,      Pembayaran Kepada Karyawa..., -1112894000000.000000 , -2158991000000.000000 , -2632765000000.000000 , -4096899000000.000000 , -6293746000000.000000 
7,      Pembayaran Lain-Lain, -3674766000000.000000 , -4950864000000.000000 , -6502767000000.000000 , -9589238000000.000000 , -12322407000000.000000 
8,      Pembayaran Pajak Penghasi..., -54810000000.000000 , -26813000000.000000 , -161149000000.000000 , -239113000000.000000 , -339948000000.000000 
9,      Penerimaan Penghasilan Ke..., 182443000000.000000 , 134801000000.000000 , 169689000000.000000 , 318098000000.000000 , 551448000000.000000 
10,      Pembayaran Biaya Keuangan, -55501000000.000000 , -107178000000.000000 , -167454000000.000000 , -134983000000.000000 , -190216000000.000000 
11,     &nbspTotal Arus Kas Dari Aktivitas...,-10648276000000.000000,-19031759000000.000000,-7361142000000.000000,-14691398000000.000000,-17206303000000.000000
12,Arus Kas Dari Aktivitas Investa..., -11693036000000.000000 , -3857143000000.000000 , -5305318000000.000000 , -91250751000000.000000 , 1134276000000.000000 
13,      Penambahan Aset Tidak Ber..., -546003000000.000000 , -811606000000.000000 , -1270791000000.000000 , -872968000000.000000 , -104398000000.000000 
14,      Perolehan Aset Tetap, -210309000000.000000 , -442058000000.000000 , -254851000000.000000 , -264710000000.000000 , -347738000000.000000 
15,      Penerimaan Dari Penjualan..., - , - , 69765000000.000000 , - , 41838000000.000000 
16,      Penerimaan Dari Penjualan..., - , - , - , 5108471000000.000000 , 16457000000.000000 
17,      Pembayaran Untuk Akuisisi..., -2166807000000.000000 , -895718000000.000000 , -2065933000000.000000 , -92089069000000.000000 , - 
18,      Pelepasan Kas Bersih Dari..., - , - , -675996000000.000000 , -97938000000.000000 , -58097000000.000000 
19,      Penambahan Investasi Pada..., -6979181000000.000000 , -367739000000.000000 , -990897000000.000000 , -2229963000000.000000 , -278540000000.000000 
20,      Penerimaan Dividen Dari I..., - , - , - , - , 5256000000.000000 
21,      Penerimaan Dari Penjualan..., - , - , - , 50000000000.000000 , 14958000000.000000 
22,      Penambahan Pinjaman Kepad..., - , -1176224000000.000000 , -243621000000.000000 , -558054000000.000000 , -1314370000000.000000 
23,      Penerimaan Dari Pemberian..., - , - , 1091931000000.000000 , 457206000000.000000 , 618889000000.000000 
24,      Penerimaan Dari Promissor..., - , - , - , - , 1404594000000.000000 
25,      Pembayaran Untuk Akuisisi..., - , -150239000000.000000 , - , - , - 
26,      Penambahan Aset Keuangan ..., -370280000000.000000 , -215490000000.000000 , -964925000000.000000 , -1698470000000.000000 , -902540000000.000000 
27,      Penerimaan Atas Penjualan..., - , - , - , - , 1496700000000.000000 
28,      Penerimaan Dividen Dari A..., - , - , - , - , 30623000000.000000 
29,      Penerimaan Atas Pengembal..., - , 300337000000.000000 , - , 944744000000.000000 , 510644000000.000000 
30,      Penambahan Aset Keuangan ..., -1551383000000.000000 , -98406000000.000000 , - , - , - 
31,      Penerimaan Dari Penjualan..., 130927000000.000000 , - , - , - , - 
32,     &nbspTotal Arus Kas Dari Aktivitas...,-11693036000000.000000,-3857143000000.000000,-5305318000000.000000,-91250751000000.000000,1134276000000.000000
33,Arus Kas Dari Aktivitas Pendana..., 20726299000000.000000 , 23324102000000.000000 , 23787071000000.000000 , 121530628000000.000000 , 13374290000000.000000 
34,      Pembayaran Saham Treasuri, -740538000000.000000 , -126206000000.000000 , -220074000000.000000 , -2532028000000.000000 , - 
35,      Penerimaan Atas Penjualan..., - , - , - , 283887000000.000000 , - 
36,      Setoran Modal Dari Kepent..., 47813000000.000000 , 159122000000.000000 , 15427224000000.000000 , 56475000000.000000 , 11325000000.000000 
37,      Penerimaan Atas Penjualan..., - , - , 4492884000000.000000 , 19805000000.000000 , - 
38,      Penerimaan Pinjaman Dari ..., - , 1056499000000.000000 , 4073638000000.000000 , 2160901000000.000000 , 1491286000000.000000 
39,      Pembayaran Pinjaman Dari ..., - , -2253000000.000000 , -2783207000000.000000 , -3617870000000.000000 , -1527562000000.000000 
40,      Pembayaran Atas Porsi Pok..., - , - , -126824000000.000000 , -220792000000.000000 , -208309000000.000000 
41,      Penerimaan Dari Penerbita..., 21236174000000.000000 , 22215094000000.000000 , 2290549000000.000000 , 135361006000000.000000 , 13727889000000.000000 
42,      Pembayaran Biaya Transaks..., - , - , - , - , -139267000000.000000 
43,      Pembayaran Untuk Akuisisi..., - , - , - , -17851982000000.000000 , -6960000000.000000 
44,      Penerimaan Dari Penerbita..., 182850000000.000000 , - , 632881000000.000000 , - , - 
45,      Penerimaan Dari Penjualan..., - , - , - , - , 2049231000000.000000 
46,      Pembayaran Untuk Pembelia..., - , - , - , - , -2049328000000.000000 
47,      Penerimaan Dari Pengeksek..., - , - , - , 7679014000000.000000 , - 
48,      Penerimaan Dari Eksekusi ..., - , - , - , 518918000000.000000 , - 
49,      Pembayaran Atas Eksekusi ..., - , - , - , -642617000000.000000 , - 
50,      Penerimaan Dari Eksekusi ..., - , - , - , 315911000000.000000 , 25985000000.000000 
51,      Penerimaan Dari Uang Muka..., - , 21846000000.000000 , - , - , - 
52,     &nbspTotal Arus Kas Dari Aktivitas...,20726299000000.000000,23324102000000.000000,23787071000000.000000,121530628000000.000000,13374290000000.000000
53,Kenaikan (Penurunan) Bersih Kas..., -1615013000000.000000 , 435200000000.000000 , 11120611000000.000000 , 15588479000000.000000 , -2697737000000.000000 
54,Kas Dan Setara Kas Awal Periode, 6688250000000.000000 , 5805960000000.000000 , 6104425000000.000000 , 15319285000000.000000 , 31150908000000.000000 
55,Dampak Neto Perubahan Nilai Tuk..., 732723000000.000000 , -136735000000.000000 , -1713644000000.000000 , 243144000000.000000 , 556006000000.000000 
56,Pelepasan Kas Atas Klasifikasi ..., - , - , -192107000000.000000 , - , - 
57,Kas Dan Setara Kas Akhir Period..., 5805960000000.000000 , 6104425000000.000000 , 15319285000000.000000 , 31150908000000.000000 , 29009177000000.000000 
