,In Million,12M 2007,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Arus Kas Dari Aktivitas Operasi, -63543756329.000000 , 130839061099.000000 , 15687936541.000000 , 263881302428.000000 , 322963103223.000000 , 491603153597.000000 , 195989263645.000000 , 128022639236.000000 , 669463282892.000000 , 779108645836.000000 , 1072516000000.000000 , 575823000000.000000 , 1096817000000.000000 , 1217063000000.000000 , 1414447000000.000000 , 259846000000.000000 
1,      Penerimaan Kas Dari Pelan..., 1198296292437.000000 , 1506235371938.000000 , 1740551540208.000000 , 2050248341783.000000 , 2245216063999.000000 , 3045933058444.000000 , 3729966817696.000000 , 4276607741068.000000 , 4775218928995.000000 , 5136766189192.000000 , 5193609000000.000000 , 5991530000000.000000 , 6780452000000.000000 , 6601124000000.000000 , 7214907000000.000000 , 8508099000000.000000 
2,      Pengeluaran Kas Kepada Pe..., -1217063353433.000000 , -1343937518042.000000 , -1686233792236.000000 , -1739753292285.000000 , -1841255902457.000000 , -2488785726038.000000 ,,,,,,,,,,
3,         Pemasok, - , - , - , - , - , - , -2613509325994.000000 , -3211343422773.000000 , -2959872843036.000000 , -3035992092859.000000 , -2673817000000.000000 , -3730114000000.000000 , -3934654000000.000000 , -3760713000000.000000 , -4024329000000.000000 , -6267061000000.000000 
4,         Karyawan, - , - , - , - , - , - , -165787425795.000000 , -183105097354.000000 , -203604552431.000000 , -213490349327.000000 , -236093000000.000000 , -257142000000.000000 , -280363000000.000000 , -302420000000.000000 , -307077000000.000000 , -332674000000.000000 
5,         Beban Operasi Lain, - , - , - , - , - , - , -629604770357.000000 , -684887689115.000000 , -912064170649.000000 , -943612130761.000000 , -1019241000000.000000 , -1284645000000.000000 , -1374271000000.000000 , -1066903000000.000000 , -1143625000000.000000 , -1276426000000.000000 
6,        &nbspTotal Pengeluaran Kas K...,-1217063353433.000000,-1343937518042.000000,-1686233792236.000000,-1739753292285.000000,-1841255902457.000000,-2488785726038.000000,-3408901522146.000000,-4079336209242.000000,-4075541566116.000000,-4193094572947.000000,-3929151000000.000000,-5271901000000.000000,-5589288000000.000000,-5130036000000.000000,-5475031000000.000000,-7876161000000.000000
7,      Adjustment, - , - , - , - , - , - , 10000.000000 , - , - , - , - , - , - , - , - , - 
8,      Penerimaan Dari:,,,,,,,,,,,,,,,,
9,         Penghasilan Bunga, 3702857703.000000 , 18059599995.000000 , 21276314660.000000 , 13692547104.000000 , 16416994017.000000 , 12085195324.000000 , 21427409890.000000 , 23576404186.000000 , 37316668783.000000 , 40335631050.000000 , 80355000000.000000 , 60084000000.000000 , 105655000000.000000 , 58666000000.000000 , 155884000000.000000 , 127283000000.000000 
