,In Million,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022
0,Arus Kas Dari Aktivitas Operasi, 12418579403.000000 , -423064460.000000 , 8771385422.000000 , 43417218078.000000 , -97597999695.000000 
1,      Penerimaan Dari Pelanggan, 114247067891.000000 , 214896355419.000000 , 408016186535.000000 , 592374613321.000000 , 1583550854377.000000 
2,      Pendapatan Keuangan, 610543938.000000 , 369226184.000000 , 622443149.000000 , 454797764.000000 , 2708012411.000000 
3,      Pembayaran Kepada Pemasok, -74909734492.000000 , -175365191145.000000 , -367743506705.000000 , -513035058448.000000 , -1547371033490.000000 
4,      Pembayaran Kepada Karyawa..., -4059352042.000000 , -19430374312.000000 , -22997905977.000000 , -17789742277.000000 , -49995613523.000000 
5,      Pembayaran Beban Keuangan, -460636981.000000 , -741422982.000000 , -1167374117.000000 , -611886140.000000 , -847738559.000000 
6,      Pembayaran Pajak, -476541847.000000 , -370658417.000000 , -1838846512.000000 , -1200134189.000000 , -25293968046.000000 
7,      Penerimaan (Pembayaran) B..., -22532767064.000000 , -19780999207.000000 , -6119610951.000000 , -16775371953.000000 , -60348512865.000000 
8,     &nbspTotal Arus Kas Dari Aktivitas...,12418579403.000000,-423064460.000000,8771385422.000000,43417218078.000000,-97597999695.000000
9,Arus Kas Dari Aktivitas Investa..., -70246519785.000000 , -24806510097.000000 , -5773711176.000000 , -21258976000.000000 , -228569295669.000000 
10,      Perolehan Aset Tetap, -35644327389.000000 , -21667696520.000000 , -1015560819.000000 , -359686000.000000 , -135503924943.000000 
11,      Penjualan Aset Tetap, - , - , - , - , - 
12,      Uang Muka Untuk Perolehan..., - , - , - , - , -4265467267.000000 
13,      Uang Muka Pembelian Aset ..., - , - , - , - , -89376000.000000 
14,      Investasi Pada Saham, - , - , - , - , - 
15,      Penambahan Aset Tidak Ber..., -34602192396.000000 , -3138813577.000000 , -4758150357.000000 , -20899290000.000000 , -88710527459.000000 
16,     &nbspTotal Arus Kas Dari Aktivitas...,-70246519785.000000,-24806510097.000000,-5773711176.000000,-21258976000.000000,-228569295669.000000
17,Arus Kas Dari Aktivitas Pendana..., 69212329712.000000 , 15798733327.000000 , -2531891439.000000 , -10128623686.000000 , 426244422570.000000 
18,      Penerimaan (Pembayaran) P..., - , 13379370177.000000 , -889081281.000000 , - , - 
19,      Pembayaran Pinjaman Dari ..., - , - , - , -666666667.000000 , -3333333333.000000 
20,      Pembayaran Liabilitas Sew..., - , - , - , -762499996.000000 , -1648466668.000000 
21,      Pembayaran Utang Pembiaya..., -53806730.000000 , -650736850.000000 , -692810158.000000 , -628026433.000000 , -628026432.000000 
22,      Pembayaran Utang Sewa, - , - , -950000000.000000 , - , - 
23,      Akuisisi Kepentingan Pada..., - , 3070100000.000000 , - , - , - 
24,      Peningkatan Modal Saham, 71654000000.000000 , - , - , - , - 
25,      Penerimaan Setoran Modal ..., - , - , - , - , 419040237000.000000 
26,      Tambahan Modal Disetor En..., - , - , - , 5332000000.000000 , 14135000000.000000 
27,      Penerbitan Saham Baru Mel..., - , - , - , - , 12853995000.000000 
28,      Tambahan Modal Disetor Me..., - , - , - , - , 1969941198.000000 
29,      Penerbitan Saham Melalui ..., - , - , - , - , 53823530.000000 
30,      Beban Emisi Saham, - , - , - , - , -15784136171.000000 
31,      Pembayaran Utang Lain-Lai..., - , - , - , -12071430590.000000 , -414611554.000000 
32,      Penerimaan Pinjaman Dari ..., - , - , - , 4000000000.000000 , - 
33,      Penerimaan Dari Obligasi ..., 15000000000.000000 , - , - , - , - 
34,      Pembayaran Pinjaman Bank ..., -13458863558.000000 , - , - , - , - 
35,      Pelunasan Obligasi Konver..., -3800000000.000000 , - , - , -5332000000.000000 , - 
36,      Penambahan Bagian Kepemil..., -129000000.000000 , - , - , - , - 
37,     &nbspTotal Arus Kas Dari Aktivitas...,69212329712.000000,15798733327.000000,-2531891439.000000,-10128623686.000000,426244422570.000000
38,Kenaikan (Penurunan) Bersih Kas..., 11384389330.000000 , -9430841230.000000 , 465782807.000000 , 12029618392.000000 , 100077127206.000000 
39,Kas Dan Setara Kas Awal Periode, 5952798077.000000 , 15191747680.000000 , 6502336819.000000 , 6968119626.000000 , 18997738018.000000 
40,Dampak Akuisisi Entitas Anak, 778344539.000000 , 741430369.000000 , - , - , - 
41,Pelepasan Entitas Anak, -2923784266.000000 , - , - , - , - 
42,Kas Dan Setara Kas Akhir Period..., 15191747680.000000 , 6502336819.000000 , 6968119626.000000 , 18997738018.000000 , 119074865224.000000 
